the	696
of	369
and	314
in	246
to	231
a	164
propaganda	139
as	106
by	100
war	90
that	83
for	78
was	78
with	66
or	62
were	62
is	57
on	51
which	42
world	40
films	38
film	38
bipolar	38
an	37
ii	36
their	35
from	35
it	35
government	32
during	32
have	32
its	30
be	30
us	29
are	29
they	28
at	27
radio	26
states	26
media	25
united	25
also	25
use	24
not	23
american	23
i	22
public	22
been	22
this	21
such	21
used	20
information	20
may	20
more	20
against	19
people	19
most	18
all	18
when	17
nazi	16
one	16
but	16
disorder	16
had	15
about	15
news	15
over	15
has	15
food	15
depressive	15
while	14
soviet	14
foreign	14
british	14
than	14
germany	13
first	13
other	13
german	12
national	12
campaign	12
who	12
many	12
well	12
created	12
china	12
history	12
iraq	12
every	12
day	12
episode	12
hypomania	12
political	11
new	11
communist	11
north	11
mass	11
state	11
bancroft	11
library	11
bpii	11
symptoms	11
will	10
after	10
governments	10
broadcast	10
military	10
using	10
press	10
out	9
hitler	9
his	9
he	9
union	9
control	9
office	9
both	9
like	9
program	9
popular	9
television	9
according	9
would	9
croatian	9
into	9
russian	9
either	9
often	9
university	9
hypomanic	9
episodes	9
patients	9
nearly	9
newspapers	8
part	8
designed	8
known	8
between	8
small	8
because	8
major	8
through	8
official	8
experience	8
influence	8
set	8
operations	8
depicting	8
revolution	8
means	8
croats	8
front	8
others	8
mood	8
policy	7
germans	7
present	7
posters	7
established	7
under	7
journalists	7
opinion	7
morale	7
similar	7
own	7
life	7
vietnam	7
we	7
later	7
some	7
great	7
americans	7
can	7
serb	7
croat	7
time	7
individuals	7
no	7
produced	7
those	7
same	7
high	7
mixed	7
least	7
iraqi	7
leaders	6
operation	6
create	6
relations	6
work	6
there	6
local	6
stations	6
only	6
events	6
black	6
citizens	6
station	6
department	6
up	6
peoples	6
western	6
them	6
these	6
minh	6
wars	6
effort	6
icty	6
creating	6
case	6
mostar	6
early	6
considered	6
series	6
viewers	6
party	6
make	6
agriculture	6
chinese	6
home	6
afghanistan	6
health	6
eg	6
possible	6
2014	6
depression	6
reich	5
international	5
laws	5
jews	5
based	5
children	5
support	5
agency	5
very	5
so	5
what	5
negative	5
ministry	5
cold	5
america	5
central	5
intelligence	5
however	5
material	5
messages	5
countries	5
weapons	5
depict	5
fear	5
alleged	5
example	5
must	5
psychological	5
chi	5
bosniaks	5
bosnian	5
plan	5
attacks	5
attack	5
century	5
romanian	5
another	5
1914	5
led	5
success	5
following	5
industry	5
russia	5
battle	5
training	5
times	5
good	5
ussr	5
much	5
see	5
group	5
korean	5
less	5
videos	5
seek	5
increase	5
2011	5
collection	5
officials	5
leaflets	5
studies	5
severe	5
associated	5
depressed	5
sleep	5
subjective	5
1939	4
authorities	4
ethnic	4
told	4
nuremberg	4
sought	4
said	4
nation	4
played	4
need	4
seen	4
jewish	4
power	4
1930s	4
controlled	4
especially	4
interests	4
supported	4
taking	4
large	4
various	4
medium	4
controversial	4
french	4
little	4
crises	4
emerged	4
crisis	4
second	4
hitlers	4
propagandist	4
joseph	4
goebbels	4
activities	4
language	4
west	4
voice	4
provided	4
freedom	4
periods	4
service	4
cia	4
being	4
republic	4
period	4
done	4
meant	4
could	4
social	4
image	4
george	4
animal	4
farm	4
though	4
although	4
independent	4
even	4
forces	4
population	4
made	4
leadership	4
aimed	4
broadcasting	4
forced	4
where	4
called	4
still	4
council	4
general	4
politics	4
real	4
movie	4
michael	4
towards	4
development	4
filmmakers	4
eisensteins	4
results	4
depicted	4
released	4
historical	4
soldiers	4
1940s	4
president	4
win	4
stated	4
1942	4
country	4
students	4
hill	4
since	4
911	4
2001	4
include	4
change	4
artificial	4
2008	4
greater	4
publicity	4
