File,ISO_6393
afwiki-latest-pages-articles,afr
albanian,sqi
anwiki-latest-pages-articles,arg
arabic,ara
armenian,hyw
astwiki-latest-pages-articles,ast
azbwiki-latest-pages-articles,azb
barwiki-latest-pages-articles,bar
basque,eus
bawiki-latest-pages-articles,bak
bengali,ben
bewiki-latest-pages-articles,bel
bpywiki-latest-pages-articles,bpy
brwiki-latest-pages-articles,bre
bswiki-latest-pages-articles,bos
bulgarian,bul
catalan,cat
cebwiki-latest-pages-articles,Ceb
cewiki-latest-pages-articles,che
cvwiki-latest-pages-articles,chv
czech,ces
danish,dan
dutch,nld
elwiki-latest-pages-articles,ell
english,eng
estonian,ekk
finnish,fin
french,fra
fywiki-latest-pages-articles,fry
georgian,kat
german,deu
guwiki-latest-pages-articles,guj
hebrew,heb
hindi,hin
hrwiki-latest-pages-articles,hrv
htwiki-latest-pages-articles,hat
hungarian,hun
icelandic,isl
idwiki-latest-pages-articles,ind
iowiki-latest-pages-articles,ido
irish,gle
italian,ita
jawiki-latest-pages-articles,jpn
jvwiki-latest-pages-articles,jav
knwiki-latest-pages-articles,kan
kowiki-latest-pages-articles,kor
kywiki-latest-pages-articles,kir
latin,lat
latvian,lav
lbwiki-latest-pages-articles,ltz
lithuanian,lit
lmowiki-latest-pages-articles,lmo
macedonian,mkd
mgwiki-latest-pages-articles,mlg
minwiki-latest-pages-articles,min
mlwiki-latest-pages-articles,mal
mrwiki-latest-pages-articles,mar
mswiki-latest-pages-articles,msa
mywiki-latest-pages-articles,mya
ndswiki-latest-pages-articles,nds
newiki-latest-pages-articles,nep
newwiki-latest-pages-articles,new
norwegian-bokmal,nob
norwegian-nynorsk,nno
ocwiki-latest-pages-articles,oci
pawiki-latest-pages-articles,pan
persian,fas
pmswiki-latest-pages-articles,pms
pnbwiki-latest-pages-articles,pnb
polish,pol
portuguese,por
romanian,ron
russian,rus
scnwiki-latest-pages-articles,scn
scottish-gaelic,gla
serbo-croatian,hbs
slovak,slk
slovene,slv
spanish,spa
suwiki-latest-pages-articles,sun
swedish,swe
swwiki-latest-pages-articles,swa
tawiki-latest-pages-articles,tam
tewiki-latest-pages-articles,tel
tgwiki-latest-pages-articles,tgk
tlwiki-latest-pages-articles,tgl
ttwiki-latest-pages-articles,tat
turkish,tur
ukrainian,ukr
urdu,urd
uzwiki-latest-pages-articles,uzb
viwiki-latest-pages-articles,vie
vowiki-latest-pages-articles,vow
warwiki-latest-pages-articles,war
welsh,cym
yowiki-latest-pages-articles,yor
zhwiki-latest-pages-articles,zho
