File,ISO_6393
abk,abk
amp,amp
aey,aey
apu,apu
bmi,bmi
bsn,bsn
gry,gry
eus,eus
ape,ape
bsk,bsk
ram,ram
tzm,tzm
cha,cha
ckt,ckt
zoc,zoc
dgz,dgz
hae,hae
arz,arz
fij,fij
fin,fin
gni,gni
khk,khk
hau,hau
heb,heb
hin,hin
hix,hix
hnj,hnj
qvi,qvi
imn,imn
ind,ind
kal,kal
gyd,gyd
kio,kio
kor,kor
kut,kut
laj,laj
lvk,lvk
dni,dni
lue,lue
ayz,ayz
myh,myh
cmn,cmn
arn,arn
vma,vma
mph,mph
ote,ote
ell,ell
naq,naq
tur,tur
kat,kat
kan,kan
mya,mya
jpn,jpn
pwn,pwn
gug,gug
myp,myp
plt,plt
jac,jac
rma,rma
rap,rap
rus,rus
sag,sag
mig,mig
xsu,xsu
spa,spa
fra,fra
eng,eng
deu,deu
swh,swh
tgl,tgl
tml,tml
tha,tha
tiw,tiw
vie,vie
wyb,wyb
wba,wba
pav,pav
pes,pes
kew,kew
kjq,kjq
wic,wic
mzh,mzh
yad,yad
yaq,yaq
yor,yor
zul,zul
crk,crk
kgo,kgo
spp,spp
