File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H
et	5.693933950531989	5	27	3166	7237	0.43747409147436783	9.987271991470802
ht	3.4931	3.0	28	1856	10000	0.1856	7.650779622569198
id	5.71444784927931	5	24	2553	8811	0.28975144705481787	9.256420705125855
it	5.030293819655522	5.0	32	3007	9870	0.30466058763931103	9.348761536211494
qu	8.937743797784366	9	31	3760	6409	0.5866749882977064	11.041276071655009
sw	6.191113420813304	6	24	2868	7697	0.372612706249188	10.018390697714507
ta	4.425511547205935	4	197	3970	8357	0.4750508555701807	10.485603712851546
th	2.9521259842519685	3	471	1932	9525	0.20283464566929135	9.16817362302476
tr	6.35926517571885	6.0	31	3338	6260	0.5332268370607028	10.861782614950947
vi	3.2589	3.0	92	1677	10000	0.1677	9.156038001493346
zh	1.5587540279269603	2.0	1679	2829	9310	0.3038668098818475	9.42802402396643
