File	writing_system	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
abk	Cyrl	7.283570892723181	7	52	9709	0.0054	786	1333	0.5896	8.895659475855066
amp	Latn	5.6185	5.0	33	11237	0.0029	961	2000	0.4805	8.956145049133676
aey	Latn	4.899	4.5	34	9798	0.0035	810	2000	0.405	8.42820050044257
apu	Latn	7.346	7.0	34	14692	0.0023	885	2000	0.4425	8.732152243977575
bmi	Latn	3.4078947368421053	3.0	50	259	0.1931	61	76	0.8026	5.605708627822881
bsn	Latn	5.822	5.0	48	11644	0.0041	816	2000	0.408	8.321469944955954
gry	Latn	2.924	2.0	50	5848	0.0085	540	2000	0.27	7.574383652293551
eus	Latn	6.2315	6.0	44	12463	0.0035	1317	2000	0.6585	9.768123033488626
ape	Latn	5.458	5.0	35	10916	0.0032	719	2000	0.3595	8.120309377432832
bsk	Latn	4.906976744186046	5.0	47	1266	0.0371	178	258	0.6899	7.0789190448572645
ram	Latn	3.663	3.0	44	7326	0.006	517	2000	0.2585	7.380134216466431
tzm	Latn	4.533590308370044	5.0	42	8233	0.0051	679	1816	0.3739	7.956074864509342
cha	Latn	4.566	4.0	35	9132	0.0038	702	2000	0.351	7.942549953717133
ckt	Cyrl	7.923	7.0	45	15846	0.0028	1189	2000	0.5945	9.414577192928503
zoc	Latn	6.085599194360523	6	39	6043	0.0065	567	993	0.571	8.24900049697532
dgz	Latn	4.593	4.0	32	9186	0.0035	734	2000	0.367	8.523307166547717
hae	Latn	6.059	6.0	37	12118	0.0031	1030	2000	0.515	9.246628636069177
arz	Arab	4.578	4.0	246	9156	0.0269	1399	2000	0.6995	9.940039025079122
fij	Latn	3.774	3.0	34	7548	0.0045	497	2000	0.2485	7.123630817474176
fin	Latn	6.6405	6.0	47	13281	0.0035	1432	2000	0.716	9.984022170627554
gni	Latn	6.220823798627002	6.0	35	5437	0.0064	384	874	0.4394	7.095405937930961
khk	Latn	5.587	5.0	48	11174	0.0043	1097	2000	0.5485	9.356696431430311
khk	Cyrl	5.6215	5.0	58	11243	0.0052	1143	2000	0.5715	9.431918066987084
hau	Latn	4.115	4.0	43	8230	0.0052	753	2000	0.3765	8.324563676896073
heb	Hebr	4.12	4.0	77	8240	0.0093	1275	2000	0.6375	9.687383950982632
hin	Deva	3.2045	3.0	359	6409	0.056	1119	2000	0.5595	9.391968981240229
hin	Latn	3.4045	3.0	361	6809	0.053	1125	2000	0.5625	9.384892191577617
hix	Latn	5.4485	4.0	32	10897	0.0029	547	2000	0.2735	7.497316076997947
hnj	Latn	3.7745	4.0	33	7549	0.0044	425	2000	0.2125	7.691696256612259
qvi	Latn	7.992	8.0	43	15984	0.0027	1189	2000	0.5945	9.58380487076655
imn	Latn	5.252873563218391	5.0	31	1828	0.017	233	348	0.6695	7.609092489492953
ind	Latn	5.456	5.0	37	10912	0.0034	1023	2000	0.5115	9.071440661172353
kal	Latn	11.2775	10.0	36	22555	0.0016	1630	2000	0.815	10.424452314312239
gyd	Latn	8.075612353567625	7	29	7583	0.0038	674	939	0.7178	8.996582560730205
kio	Latn	2.80188679245283	2.0	46	594	0.0774	96	212	0.4528	5.1796833419362684
kor	Hang	3.1645	3.0	624	6329	0.0986	1596	2000	0.798	10.433473794661179
kor	Kore	3.052	3.0	601	6104	0.0985	1553	2000	0.7765	10.370025467431304
kgo	Latn	5.323170731707317	5.0	46	1746	0.0263	176	328	0.5366	6.62759880061751
kut	Latn	3.5952380952380953	3.0	36	302	0.1192	42	84	0.5	4.573341380880294
laj	Latn	3.8995	4.0	33	7799	0.0042	744	2000	0.372	8.2525876372661
lvk	Latn	4.781303116147309	5	30	8439	0.0036	732	1765	0.4147	8.588995331681087
dni	Latn	6.888888888888889	6.0	28	1736	0.0161	184	252	0.7302	7.284908249233824
lue	Latn	7.214638157894737	7.0	33	8773	0.0038	587	1216	0.4827	8.35776891182995
ayz	Latn	3.486284289276808	4.0	28	2796	0.01	257	802	0.3204	7.106099858453751
myh	Latn	7.959349593495935	7.0	45	1958	0.023	160	246	0.6504	6.984868570852893
cmn	Hans	1.56	1.0	1024	3120	0.3282	1207	2000	0.6035	9.38451149334297
cmn	Hant	1.561	1.0	996	3122	0.319	1190	2000	0.595	9.366520336936285
arn	Latn	5.3305	5.0	39	10661	0.0037	712	2000	0.356	7.836657155722327
vma	Latn	8.67	7.0	28	17340	0.0016	982	2000	0.491	9.12063107859956
mph	Latn	5.951	5.0	35	11902	0.0029	599	2000	0.2995	7.526217209698501
ote	Latn	3.561	3.0	52	7122	0.0073	729	2000	0.3645	8.036789103549879
ell	Grek	5.2425	5.0	71	10485	0.0068	1157	2000	0.5785	9.229921706338466
naq	Latn	3.9835	3.0	44	7967	0.0055	797	2000	0.3985	8.180570409174035
tur	Latn	6.028	5.0	48	12056	0.004	1393	2000	0.6965	9.960514265125372
kat	Geor	5.351	5.0	83	10702	0.0078	1297	2000	0.6485	9.747559293839883
kan	Knda	4.827	4.0	394	9654	0.0408	1437	2000	0.7185	10.122920757088002
mya	Mymr	2.3045	2.0	332	4609	0.072	716	2000	0.358	8.139261518367068
jpn	Jpan	1.7685	1.0	590	3537	0.1668	872	2000	0.436	8.529179959335405
pwn	Latn	5.0995828988529714	4.0	35	9781	0.0036	540	1918	0.2815	7.4097959367699975
gug	Latn	5.5405	5.0	51	11081	0.0046	967	2000	0.4835	8.91094761396482
myp	Latn	5.1025	5.0	31	10205	0.003	681	2000	0.3405	7.962890433484025
crk	Latn	8.352941176470589	7	31	3550	0.0087	288	425	0.6776	7.804320522055016
plt	Latn	5.5645	5.0	44	11129	0.004	978	2000	0.489	8.696662463998024
jac	Latn	4.9315	5.0	37	9863	0.0038	723	2000	0.3615	8.10739236608373
rma	Latn	6.367989056087551	6	32	4655	0.0069	468	731	0.6402	8.49039677731753
rap	Latn	3.2515	3.0	33	6503	0.0051	431	2000	0.2155	7.14930294973503
rus	Cyrl	5.3945	5.0	75	10789	0.007	1260	2000	0.63	9.585957832896256
sag	Latn	3.418	3.0	42	6836	0.0061	381	2000	0.1905	6.65467356112825
mig	Latn	3.159	3.0	50	6318	0.0079	522	2000	0.261	7.1159241880742545
xsu	Latn	3.639	3.0	42	7278	0.0058	479	2000	0.2395	7.048122054172493
spa	Latn	4.8385	4.0	48	9677	0.005	1075	2000	0.5375	8.904190998823713
fra	Latn	4.822	4.0	53	9644	0.0055	1058	2000	0.529	8.984405567881161
eng	Latn	4.4885	4.0	42	8977	0.0047	972	2000	0.486	8.827312981779396
deu	Latn	5.6805	5.0	55	11361	0.0048	1125	2000	0.5625	9.286775801581863
