File	writing_system	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
abk	Cyrl	7.281626506024097	7.0	52	9670	0.0054	780	1328	0.5873	8.878099242943938
amp	Latn	5.5806	5.0	34	55806	0.0006	3443	10000	0.3443	9.901932010978156
aey	Latn	4.9017	5.0	34	49017	0.0007	2637	10000	0.2637	9.21113508782367
apu	Latn	7.3882	7.0	37	73882	0.0005	2963	10000	0.2963	9.591895988008423
bmi	Latn	3.4078947368421053	3.0	50	259	0.1931	61	76	0.8026	5.605708627822881
bsn	Latn	5.7872	5.0	52	57872	0.0009	2584	10000	0.2584	8.904246387730055
gry	Latn	2.967453213995118	2	55	25529	0.0022	1397	8603	0.1624	8.075015875894435
eus	Latn	6.209	6.0	70	62090	0.0011	4624	10000	0.4624	10.949827656125471
ape	Latn	5.546	5.0	35	55460	0.0006	2458	10000	0.2458	9.001252687819187
bsk	Latn	4.906976744186046	5.0	47	1266	0.0371	178	258	0.6899	7.0789190448572645
ram	Latn	3.6124	3.0	44	36124	0.0012	1326	10000	0.1326	7.767781685352828
tzm	Latn	4.533590308370044	5.0	42	8233	0.0051	679	1816	0.3739	7.956074864509342
cha	Latn	4.6077	4.0	38	46077	0.0008	2375	10000	0.2375	8.563866161615291
ckt	Cyrl	7.8988	7.0	48	78988	0.0006	4207	10000	0.4207	10.4924016910834
zoc	Latn	6.085599194360523	6	39	6043	0.0065	567	993	0.571	8.24900049697532
dgz	Latn	4.6364	4.0	31	46364	0.0007	2164	10000	0.2164	9.131971416761264
hae	Latn	6.0148	6.0	37	60148	0.0006	3441	10000	0.3441	10.218464702354337
arz	Arab	4.4881	4.0	310	44881	0.0069	5428	10000	0.5428	11.291296537728737
fij	Latn	3.7743	3.0	34	37743	0.0009	1360	10000	0.136	7.420607493188289
fin	Latn	6.4891	6.0	72	64891	0.0011	5470	10000	0.547	11.287404595075348
gni	Latn	6.220823798627002	6.0	35	5437	0.0064	384	874	0.4394	7.095405937930961
khk	Latn	5.5994	5.0	62	55994	0.0011	3772	10000	0.3772	10.377379677783136
khk	Cyrl	5.5405	5.0	48	55405	0.0009	3723	10000	0.3723	10.330266940157877
hau	Latn	4.199	4.0	45	41990	0.0011	2292	10000	0.2292	9.00305395138514
heb	Hebr	4.0608	4.0	98	40608	0.0024	4499	10000	0.4499	10.716942814381351
hin	Deva	3.1806	3.0	530	31806	0.0167	3689	10000	0.3689	10.378467657693955
hin	Latn	3.1416	3.0	532	31416	0.0169	3600	10000	0.36	10.306234698065516
hix	Latn	5.4577	5.0	33	54577	0.0006	1621	10000	0.1621	8.07643669696591
hnj	Latn	3.78195211786372	4	33	10268	0.0032	485	2715	0.1786	7.778929575796007
qvi	Latn	8.1828	8.0	43	81828	0.0005	4041	10000	0.4041	10.62298342902903
imn	Latn	5.252873563218391	5.0	31	1828	0.017	233	348	0.6695	7.609092489492953
ind	Latn	5.532	5.0	54	55320	0.001	3438	10000	0.3438	10.022068280908629
kal	Latn	11.0433	10.0	39	110433	0.0004	6752	10000	0.6752	12.113792009886298
gyd	Latn	8.075612353567625	7	29	7583	0.0038	674	939	0.7178	8.996582560730205
kio	Latn	2.80188679245283	2.0	46	594	0.0774	96	212	0.4528	5.1796833419362684
kor	Hang	3.1753	3.0	982	31753	0.0309	6193	10000	0.6193	11.967338614481719
kor	Kore	3.1072	3.0	1002	31072	0.0322	6158	10000	0.6158	11.952594871695013
kgo	Latn	5.323170731707317	5.0	46	1746	0.0263	176	328	0.5366	6.62759880061751
kut	Latn	3.5833333333333335	4.0	36	301	0.1196	44	84	0.5238	4.650605964162116
laj	Latn	3.8949	4.0	35	38949	0.0009	2252	10000	0.2252	8.924204324140359
