File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H
abk	7.174	7.0	49	334	500	0.668	7.912537117440583
amp	5.56	5.0	31	300	500	0.6	7.753504626678367
aey	5.096	5.0	32	279	500	0.558	7.49946778073616
apu	7.668	7.0	31	302	500	0.604	7.713231905842624
bmi	3.4078947368421053	3.0	50	61	76	0.8026315789473685	5.605708627822881
bsn	6.022	6.0	42	279	500	0.558	7.55932837527915
gry	3.074	2.0	44	229	500	0.458	6.962720509645816
eus	5.702	5.0	32	373	500	0.746	8.240324336905653
ape	5.498	5.0	31	270	500	0.54	7.5202061779517875
bsk	4.906976744186046	5.0	47	178	258	0.689922480620155	7.0789190448572645
ram	3.816	3.0	40	189	500	0.378	6.694881087729373
tzm	4.518	5.0	36	255	500	0.51	7.218277446614329
cha	4.434	4.0	33	252	500	0.504	7.181470099475762
ckt	8.452	8.0	42	383	500	0.766	8.238201327611213
zoc	6.084	6.0	37	310	500	0.62	7.619801578607863
dgz	4.826	5.0	28	268	500	0.536	7.544162168203657
hae	5.912	6.0	35	356	500	0.712	8.20349270998953
arz	4.436	4.0	178	415	500	0.83	8.542376578781976
fij	3.692	3.0	33	187	500	0.374	6.508008579947205
fin	6.226	6.0	35	394	500	0.788	8.380096750517595
gni	8.128	7.0	31	315	500	0.63	7.967570184143329
khk	5.664	5.0	61	381	500	0.762	8.328913309108605
hau	4.084	4.0	36	268	500	0.536	7.383616333336625
heb	3.938	4.0	46	354	500	0.708	8.00598123255426
hin	3.272	3.0	193	325	500	0.65	7.974615471179017
hix	5.376	4.0	27	219	500	0.438	6.979657616963499
hnj	3.816	4.0	25	206	500	0.412	7.059359216143092
qvi	8.184	8.0	37	361	500	0.722	8.159314984805363
imn	5.252873563218391	5.0	31	233	348	0.6695402298850575	7.609092489492953
ind	5.418	5.0	32	315	500	0.63	7.792818876161906
kal	11.048	10.0	32	451	500	0.902	8.709274597885024
gyd	8.848484848484848	7	23	31	33	0.9393939393939394	4.900306619292897
kio	3.8721804511278197	3	45	94	133	0.706766917293233	6.3212756013449365
kor	2.956	3.0	365	444	500	0.888	8.706937928656963
kut	4.596774193548387	4.0	36	41	62	0.6612903225806451	5.191547721432934
laj	3.822	4.0	30	269	500	0.538	7.418391671980045
lvk	4.77	4.0	29	290	500	0.58	7.629388079134465
dni	6.888888888888889	6.0	28	184	252	0.7301587301587301	7.284908249233824
lue	7.202	7.0	29	309	500	0.618	7.795065601203179
ayz	3.502	4.0	27	198	500	0.396	6.949802833423493
myh	8.379310344827585	7.0	44	159	232	0.6853448275862069	7.0723002581670755
cmn	1.636	1.0	388	382	500	0.764	8.299434192867562
arn	5.204	4.0	38	242	500	0.484	7.081145963446554
vma	9.068	7.0	26	363	500	0.726	8.192307572323466
mph	6.068	5.0	32	225	500	0.45	6.7954643498447265
ote	3.172	2.0	40	163	500	0.326	6.142887876943615
ell	4.718	4.0	52	320	500	0.64	7.775704755390315
naq	3.888	3.0	43	251	500	0.502	7.108320854232632
tur	6.066	5.0	37	410	500	0.82	8.48648263426443
kat	4.778	4.0	50	375	500	0.75	8.242230959518835
kan	5.216	5.0	245	364	500	0.728	8.11141935766232
mya	2.444	2.0	181	268	500	0.536	7.502181255149968
jpn	1.716	1.0	288	291	500	0.582	7.568804361736957
pwn	5.174	5.0	33	251	500	0.502	6.934458320651025
gug	5.49	5.0	43	305	500	0.61	7.7678863765370165
myp	5.08	5.0	25	275	500	0.55	7.362286308739922
plt	5.67	6.0	34	282	500	0.564	7.581616865928815
jac	4.742	4.0	38	239	500	0.478	7.103155183927546
rma	6.466	6.0	31	351	500	0.702	8.130523235848816
rap	3.346	3.0	31	203	500	0.406	6.729715744350929
rus	4.786	4.0	40	354	500	0.708	8.054528413714571
sag	3.32	3.0	37	154	500	0.308	6.073693133530586
mig	3.558	3.0	47	227	500	0.454	7.125585784695464
xsu	3.78	4.0	33	184	500	0.368	6.565178106897762
spa	4.372	4.0	36	306	500	0.612	7.565810630848883
fra	4.414	4.0	45	308	500	0.616	7.766881015527763
eng	4.18	4.0	33	310	500	0.62	7.726364466886749
deu	4.868	4.0	39	318	500	0.636	7.931355617997869
swh	5.72	5.0	34	331	500	0.662	7.924957628332395
tgl	4.91	4.0	44	277	500	0.554	7.271337961194307
tml	5.579234972677596	5	33	126	183	0.6885245901639344	6.6449781501631975
tha	2.8	3.0	195	302	500	0.604	7.827144515484548
tiw	5.736	5.0	31	259	500	0.518	7.507885662915076
vie	3.198	3.0	87	299	500	0.598	7.804145329592627
wyb	7.878	7.0	28	353	500	0.706	8.162436789250169
wba	5.968	6.0	30	307	500	0.614	7.696139611637273
pav	3.714	3.0	27	189	500	0.378	6.70656856829836
pes	3.914	4.0	52	368	500	0.736	8.22013357841028
kew	5.114	5.0	31	291	500	0.582	7.741241377390895
kjq	4.094	4.0	46	262	500	0.524	7.525024425185791
wic	9.648	7.0	30	349	500	0.698	8.113527714621512
mzh	5.152	5.0	38	265	500	0.53	7.056276558352803
yad	7.78	8.0	42	366	500	0.732	8.151081216219293
yaq	5.312	5.0	28	283	500	0.566	7.530003975139167
yor	3.518	3.0	56	263	500	0.526	7.3412228626215805
zul	8.506	8.0	36	376	500	0.752	8.121893397333483
