File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H
abk	7.32418001525553	7	50	781	1311	0.5957284515636918	8.882996472869905
amp	5.544	5.0	31	908	2000	0.454	8.815405093320194
aey	4.935	5.0	32	829	2000	0.4145	8.492615782181042
apu	7.3855	7.0	33	934	2000	0.467	8.887497718169296
bmi	3.4078947368421053	3.0	50	61	76	0.8026315789473685	5.605708627822881
bsn	5.916	5.0	47	765	2000	0.3825	8.15780629683156
gry	3.012	2.0	51	568	2000	0.284	7.64576304523377
eus	5.65	5.0	36	1162	2000	0.581	9.414370019499476
ape	5.5475	5.0	33	780	2000	0.39	8.29354982781919
bsk	4.906976744186046	5.0	47	178	258	0.689922480620155	7.0789190448572645
ram	3.739	3.0	42	524	2000	0.262	7.335098507862966
tzm	4.533590308370044	5.0	42	679	1816	0.3738986784140969	7.956074864509342
cha	4.5405	4.0	36	723	2000	0.3615	7.931954182220568
ckt	7.987	7.0	42	1188	2000	0.594	9.471970839052034
zoc	6.085599194360523	6	39	567	993	0.5709969788519638	8.24900049697532
dgz	4.673	4.0	29	800	2000	0.4	8.656045308209222
hae	6.0505	6.0	35	1067	2000	0.5335	9.361814403688244
arz	4.616	4.0	245	1415	2000	0.7075	10.017989051912167
fij	3.8225	3.0	34	481	2000	0.2405	7.008878009112152
fin	6.196	6.0	40	1340	2000	0.67	9.772995737257226
gni	8.118564742589703	7	31	380	641	0.592823712948518	8.172383200006815
khk	5.6885	5.0	33	1148	2000	0.574	9.462552507215921
hau	4.1395	4.0	37	730	2000	0.365	8.157796132446883
heb	3.929	4.0	55	1161	2000	0.5805	9.332975872226266
hin	3.084	2.0	311	961	2000	0.4805	9.05656629652486
hix	5.389	4.0	33	524	2000	0.262	7.47063174126127
hnj	3.772	4.0	26	417	2000	0.2085	7.664112747202074
qvi	8.188	8.0	39	1232	2000	0.616	9.61583321603023
imn	5.252873563218391	5.0	31	233	348	0.6695402298850575	7.609092489492953
ind	5.4265	5.0	36	930	2000	0.465	8.837994141979564
kal	11.0215	10.0	35	1636	2000	0.818	10.448605145835714
gyd	8.848484848484848	7	23	31	33	0.9393939393939394	4.900306619292897
kio	3.8721804511278197	3	45	94	133	0.706766917293233	6.3212756013449365
kor	2.9055	3.0	650	1561	2000	0.7805	10.35320530360222
kut	4.616666666666666	4.0	35	43	60	0.7166666666666667	5.3024795538336775
laj	3.917	4.0	32	766	2000	0.383	8.367351498815736
lvk	4.781303116147309	5	30	732	1765	0.41473087818696885	8.588995331681087
dni	6.888888888888889	6.0	28	184	252	0.7301587301587301	7.284908249233824
lue	7.214638157894737	7.0	33	587	1216	0.48273026315789475	8.35776891182995
ayz	3.486284289276808	4.0	28	257	802	0.3204488778054863	7.106099858453751
myh	8.379310344827585	7.0	44	159	232	0.6853448275862069	7.0723002581670755
cmn	1.5425	1.0	989	1259	2000	0.6295	9.776707104677298
arn	5.5765	5.0	34	740	2000	0.37	7.926709102332047
vma	8.6755	7.0	28	971	2000	0.4855	9.101883104054243
mph	5.993	5.0	34	589	2000	0.2945	7.47660022448018
ote	3.1288604898828543	2.0	45	361	1878	0.19222577209797656	6.443652310037876
ell	4.7915	4.0	80	1063	2000	0.5315	9.021682214991657
naq	4.1735	4.0	44	817	2000	0.4085	8.293453413835405
tur	5.8375	5.0	45	1316	2000	0.658	9.789173907132904
kat	4.3915	4.0	63	1062	2000	0.531	9.0366930293813
kan	5.258333333333334	5.0	282	714	1080	0.6611111111111111	8.859529878418565
mya	2.5375	2.0	292	653	2000	0.3265	8.24000653449288
jpn	1.6415	1.0	601	829	2000	0.4145	8.373219654822304
pwn	5.101721439749609	4	34	539	1917	0.2811684924360981	7.407220083900848
gug	5.497	5.0	48	930	2000	0.465	8.789391560420189
myp	5.2265	5.0	31	691	2000	0.3455	8.039270855188564
plt	5.501	5.0	36	848	2000	0.424	8.469905048120477
jac	4.876	4.0	38	682	2000	0.341	7.971545554961929
rma	6.367989056087551	6	32	468	731	0.640218878248974	8.49039677731753
rap	3.2785	3.0	31	431	2000	0.2155	7.093406652143366
rus	4.8825	5.0	64	1101	2000	0.5505	9.160771494013812
sag	3.4805	3.0	45	391	2000	0.1955	6.708027131638589
mig	3.4985	3.0	49	570	2000	0.285	7.715759377561058
xsu	3.566	3.0	41	433	2000	0.2165	6.876754286534688
spa	4.5335	4.0	43	990	2000	0.495	8.733460019001551
fra	4.6255	4.0	55	1010	2000	0.505	8.939393744229871
eng	4.407	4.0	37	942	2000	0.471	8.71348535686769
deu	5.048	4.0	46	1033	2000	0.5165	9.095869671313196
swh	5.5505	5.0	35	994	2000	0.497	8.978199864623367
tgl	4.8845	4.0	50	932	2000	0.466	8.247613889541892
tml	5.579234972677596	5	33	126	183	0.6885245901639344	6.6449781501631975
tha	2.731	2.0	319	707	2000	0.3535	8.418217334771313
tiw	5.872459705676244	5	32	532	1427	0.37281009110021024	8.171087485626877
vie	3.294	3.0	102	728	2000	0.364	8.614987288860792
wyb	8.002155172413794	7.0	30	596	928	0.6422413793103449	8.739658150878494
wba	5.946	6.0	31	801	2000	0.4005	8.720229287648031
pav	3.7285	3.0	27	472	2000	0.236	7.445535482451599
pes	3.886	4.0	85	1120	2000	0.56	9.368729509282417
kew	4.948	4.0	32	749	2000	0.3745	8.537340951327764
kjq	4.1985	4.0	49	620	2000	0.31	8.134387331257342
wic	9.59851851851852	7	30	443	675	0.6562962962962963	8.374274522294996
mzh	5.1765	5.0	42	816	2000	0.408	7.979127271886238
yad	7.619	7.0	44	1117	2000	0.5585	9.224366735324274
yaq	5.3835	5.0	29	784	2000	0.392	8.449241765459053
yor	3.5095	3.0	51	648	2000	0.324	7.948271416585193
zul	8.385329619312905	8	36	710	1077	0.659238625812442	8.828650356738972
