File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H
afwiki-latest-pages-articles	5.1571	4.0	57	2530	10000	0.253	8.972083651297071
albanian	5.0547	5.0	59	3290	10000	0.329	9.359206056417676
anwiki-latest-pages-articles	4.6343	4.0	52	2765	10000	0.2765	9.04233014279796
arabic	4.7998	5.0	83	4683	10000	0.4683	10.983176493027514
armenian	6.7466	7.0	113	4286	10000	0.4286	10.753485334774684
astwiki-latest-pages-articles	5.0686	5.0	66	3582	10000	0.3582	9.748306442637451
azbwiki-latest-pages-articles	5.1485	5.0	147	3250	10000	0.325	9.674105763808342
barwiki-latest-pages-articles	5.1678	4.0	49	3030	10000	0.303	9.499493250999649
basque	6.7698	7.0	41	4358	10000	0.4358	10.890271754704262
bawiki-latest-pages-articles	6.1238	6.0	170	4564	10000	0.4564	11.168580360231674
bengali	1.7237	2.0	102	664	10000	0.0664	7.044042109304929
bewiki-latest-pages-articles	6.0548	6.0	90	4370	10000	0.437	10.814809264050108
bpywiki-latest-pages-articles	3.5555	4.0	242	717	10000	0.0717	6.786912128869196
brwiki-latest-pages-articles	4.6446	4.0	66	2559	10000	0.2559	8.934352646467746
bswiki-latest-pages-articles	5.5447	6.0	56	4214	10000	0.4214	10.445580795605332
bulgarian	5.6156	5.0	59	3245	10000	0.3245	9.651103166724988
catalan	4.662	4.0	73	2894	10000	0.2894	9.14244545689414
cebwiki-latest-pages-articles	5.7147	3.0	42	885	10000	0.0885	5.19422315911266
cewiki-latest-pages-articles	6.8027	6.0	44	1039	10000	0.1039	6.351783735110789
cvwiki-latest-pages-articles	6.1595	6.0	79	3848	10000	0.3848	10.778511444399943
czech	5.477	5.0	68	4392	10000	0.4392	10.680343188258064
danish	5.2565	5.0	89	3589	10000	0.3589	9.887474245983075
dutch	5.1403	4.0	58	2838	10000	0.2838	9.080132434907691
elwiki-latest-pages-articles	2.6959	1.0	74	1913	10000	0.1913	7.358048113395057
english	5.0004	4.0	38	2649	10000	0.2649	9.215416170745666
estonian	3.9005	2.0	63	3138	10000	0.3138	8.428763726722085
finnish	7.6653	7.0	53	4973	10000	0.4973	11.11623093769801
french	4.7016	4.0	45	2906	10000	0.2906	9.258923154952788
fywiki-latest-pages-articles	4.9213	4.0	48	2684	10000	0.2684	8.957728888886482
georgian	7.0564	7.0	72	4704	10000	0.4704	11.160895326058583
german	6.0778	5.0	54	3724	10000	0.3724	9.91551568296379
guwiki-latest-pages-articles	3.1196	3.0	421	1549	10000	0.1549	7.688418222734164
hebrew	4.6316	5.0	82	4995	10000	0.4995	11.261366408507962
hindi	2.2577	2.0	75	934	10000	0.0934	7.201226780182098
hrwiki-latest-pages-articles	5.691	6.0	59	4508	10000	0.4508	10.501578858697613
htwiki-latest-pages-articles	4.4118	4.0	135	1568	10000	0.1568	7.402423411348789
hungarian	6.2494	6.0	106	4164	10000	0.4164	10.395662057758353
icelandic	5.3724	5.0	64	3772	10000	0.3772	9.929160141930085
idwiki-latest-pages-articles	6.0311	6.0	40	2707	10000	0.2707	9.8984939055126
iowiki-latest-pages-articles	5.1023	5.0	61	2639	10000	0.2639	9.308946744852758
irish	5.2213	5.0	61	3298	10000	0.3298	9.69488692988527
italian	5.1557	5.0	69	3323	10000	0.3323	9.849906057166894
jawiki-latest-pages-articles	1.8666	2.0	1107	2322	10000	0.2322	9.002167711112346
jvwiki-latest-pages-articles	5.8318	6.0	76	3442	10000	0.3442	10.252069976184044
knwiki-latest-pages-articles	4.5617	4.0	554	5676	10000	0.5676	11.68395235298664
kowiki-latest-pages-articles	3.1148	3.0	962	5916	10000	0.5916	11.883672771334872
kywiki-latest-pages-articles	3.9343	2.0	91	4789	10000	0.4789	9.55290443478032
latin	6.9479	7.0	32	440	10000	0.044	6.321827160978866
latvian	6.5898	7.0	45	3696	10000	0.3696	10.375438455171356
lbwiki-latest-pages-articles	4.1903	3.0	72	2114	10000	0.2114	7.939585527233406
lithuanian	6.503	7.0	49	4776	10000	0.4776	11.112670871121505
lmowiki-latest-pages-articles	4.2577	4.0	70	2382	10000	0.2382	8.924527545969744
macedonian	5.432	5.0	54	2156	10000	0.2156	8.770595873392143
mgwiki-latest-pages-articles	5.6371	6.0	165	2642	10000	0.2642	9.041741429682936
minwiki-latest-pages-articles	5.9034	6.0	58	3180	10000	0.318	10.138563105089402
mlwiki-latest-pages-articles	5.1644	5.0	543	5678	10000	0.5678	11.734740204740012
mrwiki-latest-pages-articles	3.5736	3.0	556	4641	10000	0.4641	11.085095324558724
mswiki-latest-pages-articles	6.1548	6.0	57	2696	10000	0.2696	9.799179571888343
mywiki-latest-pages-articles	2.5156	2.0	439	1694	10000	0.1694	9.043176614108853
ndswiki-latest-pages-articles	5.6229	4.0	44	3165	10000	0.3165	9.4229085621694
newiki-latest-pages-articles	3.0013	2.0	424	4324	10000	0.4324	9.899519243168276
newwiki-latest-pages-articles	2.48	2.0	293	1514	10000	0.1514	7.498469973443257
norwegian-bokmal	5.2194	4.0	48	2221	10000	0.2221	8.713579151263383
norwegian-nynorsk	5.0836	4.0	41	2889	10000	0.2889	9.46147352436741
ocwiki-latest-pages-articles	5.2861	5.0	55	2863	10000	0.2863	9.347211995829586
pawiki-latest-pages-articles	2.4454	2.0	575	3090	10000	0.309	9.791663432457945
persian	4.0653	4.0	63	2450	10000	0.245	9.209635116213219
pmswiki-latest-pages-articles	4.7995	4.0	73	1883	10000	0.1883	8.16621067536637
pnbwiki-latest-pages-articles	3.7462	4.0	105	2625	10000	0.2625	9.477620948431282
polish	6.3129	6.0	46	4802	10000	0.4802	10.855843675883651
portuguese	5.039	5.0	73	3180	10000	0.318	9.54586326209261
romanian	5.3968	5.0	83	3556	10000	0.3556	9.90409952929761
russian	6.338	6.0	62	4693	10000	0.4693	10.826415453127929
scnwiki-latest-pages-articles	5.0216	5.0	49	3261	10000	0.3261	9.543252668444204
scottish-gaelic	4.4411	4.0	38	2108	10000	0.2108	8.608384506070442
serbo-croatian	5.1714	5.0	61	3783	10000	0.3783	10.157194403887324
slovak	5.6556	6.0	54	4298	10000	0.4298	10.571573234383846
slovene	5.4483	5.0	107	4150	10000	0.415	10.2855803936395
spanish	4.8574	4.0	51	3024	10000	0.3024	9.126948071412066
suwiki-latest-pages-articles	5.4972	5.0	58	2252	10000	0.2252	8.83220163220436
swedish	5.0659	4.0	48	460	10000	0.046	6.572989089858616
swwiki-latest-pages-articles	5.3239	5.0	60	2892	10000	0.2892	9.538314375508222
tawiki-latest-pages-articles	4.8272	4.0	319	5263	10000	0.5263	11.606540912759542
tewiki-latest-pages-articles	4.0858	4.0	581	4990	10000	0.499	11.430219194600157
tgwiki-latest-pages-articles	5.7352	6.0	107	3829	10000	0.3829	10.312787448711177
tlwiki-latest-pages-articles	3.0612	1.0	59	3275	10000	0.3275	8.380926134681479
ttwiki-latest-pages-articles	6.1585	6.0	97	4478	10000	0.4478	11.169454457608555
turkish	6.333	6.0	94	4507	10000	0.4507	11.075114279263428
ukrainian	5.8438	6.0	66	4295	10000	0.4295	10.817075460095921
urdu	3.6457	3.0	68	2472	10000	0.2472	9.269579324468555
uzwiki-latest-pages-articles	4.0529	2.0	68	4591	10000	0.4591	9.256466922923604
viwiki-latest-pages-articles	2.1282	1.0	119	2192	10000	0.2192	8.610983150529576
vowiki-latest-pages-articles	4.6092	4.0	43	1205	10000	0.1205	8.04960717520191
warwiki-latest-pages-articles	5.0172	4.0	53	2158	10000	0.2158	8.277401752527776
welsh	4.5988	4.0	49	2450	10000	0.245	8.986549008417445
yowiki-latest-pages-articles	3.7234	3.0	70	2892	10000	0.2892	9.78163735975741
zhwiki-latest-pages-articles	1.7359	2.0	1367	4861	10000	0.4861	11.218205511853654
