File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H
ar	4.0949	4.0	52	3145	10000	0.3145	9.761776655728147
bg	5.1835	5.0	61	4430	10000	0.443	10.210500760957883
de	5.8797	5.0	75	3978	10000	0.3978	10.149072977481138
el	5.4264	5.0	69	3296	10000	0.3296	9.490425143099412
en	4.7975	4.0	47	3423	10000	0.3423	9.848059354745947
es	4.968	4.0	49	3253	10000	0.3253	9.201406855583581
fr	5.0625	4.0	57	3657	10000	0.3657	9.787302031936079
hi	2.4517	2.0	461	2291	10000	0.2291	9.182196732030208
it	5.1856	5.0	60	3679	10000	0.3679	9.965295150786103
nl	5.3057	4.0	43	2840	10000	0.284	9.304125097678202
pl	5.8256	6.0	46	5413	10000	0.5413	11.034530697622964
pt	4.9271	4.0	60	3617	10000	0.3617	9.774533246305566
ru	6.0505	6.0	117	5819	10000	0.5819	11.231705517373253
sw	5.356	5.0	36	1447	10000	0.1447	9.094667363041834
th	2.9182	3.0	462	2123	10000	0.2123	9.32436600848163
tr	6.1225	6.0	38	5431	10000	0.5431	11.419576556735121
ur	3.7235	3.0	70	2367	10000	0.2367	9.334888175853806
vi	4.0392	3.0	101	2452	10000	0.2452	9.683642093480646
zh	1.6184	2.0	1108	1631	10000	0.1631	9.082260408255259
