File	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
abk	6.93	6.0	46	3465	0.0133	351	500	0.702	8.044038188718899
amp	5.684	5.0	33	2842	0.0116	321	500	0.642	7.922757440230196
aey	4.938	5.0	33	2469	0.0134	277	500	0.554	7.5463186636684
apu	7.316	7.0	31	3658	0.0085	305	500	0.61	7.793411927770727
bmi	3.4078947368421053	3.0	50	259	0.1931	61	76	0.8026315789473685	5.605708627822881
bsn	5.768	5.0	46	2884	0.016	254	500	0.508	7.35299424629383
gry	2.958	2.0	47	1479	0.0318	224	500	0.448	6.970230463692153
eus	6.17	6.0	36	3085	0.0117	388	500	0.776	8.32371174900732
ape	5.362	5.0	35	2681	0.0131	252	500	0.504	7.254207160333472
bsk	4.906976744186046	5.0	47	1266	0.0371	178	258	0.689922480620155	7.0789190448572645
ram	3.624	3.0	42	1812	0.0232	194	500	0.388	6.691718968019378
tzm	4.512	4.5	33	2256	0.0146	251	500	0.502	7.148873473040384
cha	4.77	4.0	34	2385	0.0143	241	500	0.482	7.159137980898125
ckt	7.568	7.0	45	3784	0.0119	366	500	0.732	8.175157135814413
zoc	6.252	6.0	39	3126	0.0125	328	500	0.656	7.785581732170961
dgz	4.606	4.0	31	2303	0.0135	283	500	0.566	7.663752414766504
hae	5.898	6.0	37	2949	0.0125	344	500	0.688	8.155330491836633
arz	4.342	4.0	195	2171	0.0898	395	500	0.79	8.388704915783102
fij	3.738	3.0	34	1869	0.0182	179	500	0.358	6.402242229572492
fin	6.554	6.0	45	3277	0.0137	415	500	0.83	8.499305365675397
gni	6.25	6.0	32	3125	0.0102	251	500	0.502	6.733151785684392
khk	5.54	5.0	32	2770	0.0116	346	500	0.692	8.16318242399434
hau	4.276	4.0	39	2138	0.0182	295	500	0.59	7.5702507984567715
heb	4.14	4.0	59	2070	0.0285	362	500	0.724	8.133894747452752
hin	3.34	3.0	233	1670	0.1395	343	500	0.686	8.102151744431232
